label,trials,offset,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Crowded,0,-0.14,right,left,0.7539857490000941,false,0
Block 1: Binocular_Crowded,1,-0.22,left,left,0.8535613989997728,correct,1
Block 1: Binocular_Crowded,2,-0.09,left,left,0.546214394999879,correct,1
Block 1: Binocular_Crowded,3,0.15,right,right,0.5572531980001258,correct,1
Block 1: Binocular_Crowded,4,-0.206,right,left,0.7799376020002455,false,0
Block 1: Binocular_Crowded,5,0.06,right,right,0.5672608249997211,correct,1
Block 1: Binocular_Crowded,6,0.01,left,right,0.6379271349996998,false,0
Block 1: Binocular_Crowded,7,0.13,right,right,0.3545774449999044,correct,1
Block 1: Binocular_Crowded,8,-0.01,right,left,0.5666075149997596,false,0
Block 1: Binocular_Crowded,9,0.23,left,right,2.2092881260000468,false,0
Block 1: Binocular_Crowded,10,-0.15,left,left,0.6282251470001938,correct,1
Block 1: Binocular_Crowded,11,-0.05,right,left,0.769034136999835,false,0
Block 1: Binocular_Crowded,12,0.22,right,right,0.44676564599967605,correct,1
Block 1: Binocular_Crowded,13,0.17,right,right,0.4659227419997478,correct,1
Block 1: Binocular_Crowded,14,0.07,right,right,0.5164994289998504,correct,1
Block 1: Binocular_Crowded,15,-0.07,right,left,0.639230021000003,false,0
Block 1: Binocular_Crowded,16,0.19,right,right,0.6082040719998076,correct,1
Block 1: Binocular_Crowded,17,0.08,right,right,0.6995178349998241,correct,1
Block 1: Binocular_Crowded,18,-0.23,left,left,0.5672995939999055,correct,1
Block 1: Binocular_Crowded,19,-0.18,left,left,0.43580704799978776,correct,1
Block 1: Binocular_Crowded,20,-0.11,left,left,0.6073572799996327,correct,1
Block 1: Binocular_Crowded,21,-0.2,left,left,0.6891364109997085,correct,1
Block 1: Binocular_Crowded,22,-0.1,left,left,0.5478925320003327,correct,1
Block 1: Binocular_Crowded,23,0.02,left,right,0.5165597939999316,false,0
Block 1: Binocular_Crowded,24,-0.043,right,left,0.6176588439998341,false,0
Block 1: Binocular_Crowded,25,-0.02,right,left,0.8001511870002105,false,0
Block 1: Binocular_Crowded,26,0.09,right,right,0.7504668719998335,correct,1
Block 1: Binocular_Crowded,27,-0.19,left,left,0.5974626369998077,correct,1
Block 1: Binocular_Crowded,28,0.035,left,right,0.5065472790001877,false,0
Block 1: Binocular_Crowded,29,0.11,right,right,0.5569849510002314,correct,1
Block 1: Binocular_Crowded,30,-0.04,right,left,1.0127150839998649,false,0
Block 1: Binocular_Crowded,31,0.05,right,right,0.5773394329999064,correct,1
Block 1: Binocular_Crowded,32,0.1,right,right,0.6897086630001468,correct,1
Block 1: Binocular_Crowded,33,-0.17,left,left,0.44557045400006245,correct,1
Block 1: Binocular_Crowded,34,0.21,left,right,0.4449664400003712,false,0
Block 1: Binocular_Crowded,35,0.18,right,right,0.3137263549997442,correct,1
Block 1: Binocular_Crowded,36,-0.06,right,left,0.46562736500027313,false,0
Block 1: Binocular_Crowded,37,-0.16,left,left,0.5668495230002009,correct,1
Block 1: Binocular_Crowded,38,0.03,left,right,0.49659769800018694,false,0
Block 1: Binocular_Crowded,39,0.04,left,right,0.5168085919999612,false,0
Block 1: Binocular_Crowded,40,-0.21,left,left,0.5365848960000221,correct,1
Block 1: Binocular_Crowded,41,0.2,right,right,0.44572350999987975,correct,1
Block 1: Binocular_Crowded,42,-0.035,right,left,0.5369821129997945,false,0
Block 1: Binocular_Crowded,43,-0.131,left,left,0.5058642760000112,correct,1
Block 1: Binocular_Crowded,44,0.0,right,right,0.6784744769997815,correct,1
Block 1: Binocular_Crowded,45,0.043,left,right,0.41505381899969507,false,0
Block 1: Binocular_Crowded,46,-0.13,left,left,0.45546488400032104,correct,1
Block 1: Binocular_Crowded,47,0.14,right,right,0.41492990500000815,correct,1
Block 1: Binocular_Crowded,48,0.206,right,right,0.4263100950001899,correct,1
Block 1: Binocular_Crowded,49,-0.03,left,left,0.47589118799987773,correct,1
Block 1: Binocular_Crowded,50,0.12,right,right,0.3747632429999612,correct,1
Block 1: Binocular_Crowded,51,0.131,right,right,0.43519788000003246,correct,1
