label,trials,offset,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Crowded,0,0.0,right,right,1.4413246269996307,correct,1
Block 1: Binocular_Crowded,1,0.16,right,right,0.4077584779997778,correct,1
Block 1: Binocular_Crowded,2,-0.15,left,left,0.32347368200044,correct,1
Block 1: Binocular_Crowded,3,-0.1,left,left,0.22244190699984756,correct,1
Block 1: Binocular_Crowded,4,-0.02,left,left,1.6608275359994877,correct,1
Block 1: Binocular_Crowded,5,0.02,right,right,0.4147222289993806,correct,1
Block 1: Binocular_Crowded,6,-0.03,right,left,0.3032377429999542,false,0
Block 1: Binocular_Crowded,7,0.23,right,right,0.2222630799997205,correct,1
Block 1: Binocular_Crowded,8,0.04,right,right,0.34417353000026196,correct,1
Block 1: Binocular_Crowded,9,-0.19,left,left,0.33366325899987714,correct,1
Block 1: Binocular_Crowded,10,0.13,right,right,0.20196481099992525,correct,1
Block 1: Binocular_Crowded,11,0.131,right,right,0.25267787699976907,correct,1
Block 1: Binocular_Crowded,12,-0.23,left,left,0.2628575999997338,correct,1
Block 1: Binocular_Crowded,13,0.2,right,right,0.5264141930001642,correct,1
Block 1: Binocular_Crowded,14,0.06,right,right,0.22219208600017737,correct,1
Block 1: Binocular_Crowded,15,-0.22,left,left,0.3033775500007323,correct,1
Block 1: Binocular_Crowded,16,-0.2,left,left,0.23253467900030955,correct,1
Block 1: Binocular_Crowded,17,0.22,right,right,0.20231146200057992,correct,1
Block 1: Binocular_Crowded,18,0.21,right,right,0.3744740250003815,correct,1
Block 1: Binocular_Crowded,19,-0.07,left,left,0.30350057299983746,correct,1
Block 1: Binocular_Crowded,20,-0.12,left,left,0.22355724399949395,correct,1
Block 1: Binocular_Crowded,21,-0.14,left,left,0.24277379199975258,correct,1
Block 1: Binocular_Crowded,22,0.08,right,right,0.19188020000001416,correct,1
Block 1: Binocular_Crowded,23,0.17,right,right,0.2223441880005339,correct,1
Block 1: Binocular_Crowded,24,0.11,right,right,0.2736063299998932,correct,1
Block 1: Binocular_Crowded,25,-0.131,left,left,0.3034209980005471,correct,1
Block 1: Binocular_Crowded,26,-0.18,left,left,0.2423553010003161,correct,1
Block 1: Binocular_Crowded,27,0.05,right,right,0.2930705879998641,correct,1
Block 1: Binocular_Crowded,28,0.206,left,right,0.17227219800042803,false,0
Block 1: Binocular_Crowded,29,0.19,right,right,0.28333820199986803,correct,1
Block 1: Binocular_Crowded,30,0.03,right,right,0.40515894899999694,correct,1
Block 1: Binocular_Crowded,31,-0.04,left,left,0.2019782329998634,correct,1
Block 1: Binocular_Crowded,32,0.18,right,right,0.21227851000003284,correct,1
Block 1: Binocular_Crowded,33,0.035,right,right,0.2222888240003158,correct,1
Block 1: Binocular_Crowded,34,-0.17,left,left,0.21222701099941332,correct,1
Block 1: Binocular_Crowded,35,-0.206,left,left,0.2326866829998835,correct,1
Block 1: Binocular_Crowded,36,0.1,right,right,0.2634540820008624,correct,1
Block 1: Binocular_Crowded,37,0.15,right,right,0.16179996499977278,correct,1
Block 1: Binocular_Crowded,38,-0.035,left,left,0.2934260060001179,correct,1
Block 1: Binocular_Crowded,39,-0.06,left,left,0.19197405000068102,correct,1
Block 1: Binocular_Crowded,40,-0.16,left,left,0.18156136099969444,correct,1
Block 1: Binocular_Crowded,41,-0.043,left,left,0.2221481960004894,correct,1
Block 1: Binocular_Crowded,42,-0.09,left,left,0.21216840499982936,correct,1
Block 1: Binocular_Crowded,43,0.01,right,right,0.4254111689997444,correct,1
Block 1: Binocular_Crowded,44,0.14,right,right,0.2023065460007274,correct,1
Block 1: Binocular_Crowded,45,0.043,right,right,0.1817341590003707,correct,1
Block 1: Binocular_Crowded,46,-0.05,left,left,0.35425586699966516,correct,1
Block 1: Binocular_Crowded,47,0.09,right,right,0.24269509999976435,correct,1
Block 1: Binocular_Crowded,48,-0.13,left,left,0.1820053490000646,correct,1
Block 1: Binocular_Crowded,49,-0.21,left,left,0.25315234800018516,correct,1
Block 1: Binocular_Crowded,50,-0.08,left,left,0.2526333619998695,correct,1
Block 1: Binocular_Crowded,51,-0.01,left,left,0.35396437399958813,correct,1
Block 1: Binocular_Crowded,52,0.07,right,right,0.222591095000098,correct,1
Block 1: Binocular_Crowded,53,-0.11,left,left,0.49601425399941945,correct,1
Block 1: Binocular_Crowded,54,0.12,right,right,0.24362878300053126,correct,1
Block 2: Binocular_Standard,0,0.1,right,right,0.3645212459996401,correct,1
Block 2: Binocular_Standard,1,0.12,right,right,0.2931360239999776,correct,1
Block 2: Binocular_Standard,2,-0.11,left,left,0.22232954500032065,correct,1
Block 2: Binocular_Standard,3,-0.06,left,left,0.17171613600021374,correct,1
Block 2: Binocular_Standard,4,-0.04,left,left,0.21210489700024482,correct,1
Block 2: Binocular_Standard,5,-0.15,left,left,0.171611374999884,correct,1
Block 2: Binocular_Standard,6,-0.03,left,left,0.3034023319996777,correct,1
Block 2: Binocular_Standard,7,-0.01,right,left,0.21223254800042923,false,0
Block 2: Binocular_Standard,8,-0.1,left,left,0.20234197800073161,correct,1
Block 2: Binocular_Standard,9,0.18,right,right,0.22241772999950626,correct,1
Block 2: Binocular_Standard,10,-0.035,left,left,0.8105968199997733,correct,1
Block 2: Binocular_Standard,11,-0.05,left,left,0.252816898000674,correct,1
