label,trials,offset,keys,direction,response_time,accuracy,response_numeric
Block 2: Binocular_Crowded,0,-0.14,left,left,0.3899833890000082,correct,1
Block 2: Binocular_Crowded,1,-0.03,left,left,0.34446262600022237,correct,1
Block 2: Binocular_Crowded,2,0.13,left,right,0.34421933299995544,false,0
Block 2: Binocular_Crowded,3,-0.23,left,left,0.2936287479999464,correct,1
Block 2: Binocular_Crowded,4,-0.07,left,left,0.3136002109999936,correct,1
Block 2: Binocular_Crowded,5,-0.17,left,left,0.25290477900011865,correct,1
Block 2: Binocular_Crowded,6,0.12,right,right,0.38458931500008475,correct,1
Block 2: Binocular_Crowded,7,-0.035,left,left,0.34381125100003374,correct,1
Block 2: Binocular_Crowded,8,-0.1,left,left,0.32383740399995986,correct,1
Block 2: Binocular_Crowded,9,0.0,left,right,0.42464169000004404,false,0
Block 2: Binocular_Crowded,10,-0.2,left,left,0.28435293899997305,correct,1
Block 2: Binocular_Crowded,11,-0.02,right,left,0.900526599999921,false,0
Block 2: Binocular_Crowded,12,0.22,right,right,0.2931167159999859,correct,1
Block 2: Binocular_Crowded,13,0.23,right,right,0.28339872600008675,correct,1
Block 2: Binocular_Crowded,14,-0.11,left,left,0.4150042679998478,correct,1
Block 2: Binocular_Crowded,15,0.11,left,right,12.680271276999974,false,0
Block 2: Binocular_Crowded,16,0.131,right,right,0.35398030000010294,correct,1
Block 2: Binocular_Crowded,17,0.206,right,right,0.2935145389999434,correct,1
Block 2: Binocular_Crowded,18,0.06,right,right,0.31425927500004036,correct,1
Block 2: Binocular_Crowded,19,0.08,right,right,0.27307570600009967,correct,1
Block 2: Binocular_Crowded,20,-0.15,left,left,0.23241869100002077,correct,1
Block 2: Binocular_Crowded,21,-0.05,left,left,0.28336458300009326,correct,1
Block 2: Binocular_Crowded,22,0.1,right,right,0.26246671200010496,correct,1
Block 2: Binocular_Crowded,23,0.043,left,right,0.23294867700019495,false,0
Block 2: Binocular_Crowded,24,0.21,right,right,0.2525656469999831,correct,1
Block 2: Binocular_Crowded,25,0.15,right,right,0.25266962399996373,correct,1
Block 2: Binocular_Crowded,26,0.07,right,right,0.3031750689999626,correct,1
Block 2: Binocular_Crowded,27,0.17,right,right,0.36404678600001716,correct,1
Block 2: Binocular_Crowded,28,-0.09,left,left,0.2528300520000357,correct,1
Block 2: Binocular_Crowded,29,0.01,left,right,0.5872510909998709,false,0
Block 2: Binocular_Crowded,30,-0.18,left,left,0.34471656200003054,correct,1
Block 2: Binocular_Crowded,31,-0.16,left,left,0.26316306700005043,correct,1
Block 2: Binocular_Crowded,32,0.19,right,right,0.25263884900004996,correct,1
Block 2: Binocular_Crowded,33,-0.19,left,left,0.26326451799991446,correct,1
Block 2: Binocular_Crowded,34,-0.08,left,left,0.3847981719998188,correct,1
Block 2: Binocular_Crowded,35,0.18,right,right,0.2626251570000022,correct,1
Block 2: Binocular_Crowded,36,0.09,right,right,0.24247682500003975,correct,1
Block 2: Binocular_Crowded,37,-0.206,left,left,0.24268473200004337,correct,1
Block 2: Binocular_Crowded,38,0.03,left,right,0.3135090449998188,false,0
Block 2: Binocular_Crowded,39,-0.04,right,left,0.19201860499993018,false,0
Block 2: Binocular_Crowded,40,-0.043,left,left,0.3338392330001625,correct,1
Block 2: Binocular_Crowded,41,0.04,left,right,0.262859312999808,false,0
Block 2: Binocular_Crowded,42,-0.01,left,left,0.22226781700010179,correct,1
Block 2: Binocular_Crowded,43,0.035,left,right,0.35390438499985066,false,0
Block 2: Binocular_Crowded,44,-0.22,left,left,0.232996354000079,correct,1
Block 2: Binocular_Crowded,45,0.2,right,right,0.3238433960000293,correct,1
Block 2: Binocular_Crowded,46,0.16,right,right,0.272816118000037,correct,1
Block 2: Binocular_Crowded,47,0.05,right,right,0.2629270049999377,correct,1
Block 2: Binocular_Crowded,48,-0.06,right,left,0.3439043070000025,false,0
Block 2: Binocular_Crowded,49,-0.21,left,left,0.20276851799985707,correct,1
Block 2: Binocular_Crowded,50,-0.12,left,left,0.26304204100006245,correct,1
Block 2: Binocular_Crowded,51,-0.131,left,left,0.26264058499987186,correct,1
Block 2: Binocular_Crowded,52,0.14,left,right,0.42520050999996784,false,0
Block 2: Binocular_Crowded,53,-0.13,left,left,0.24262854199992034,correct,1
Block 2: Binocular_Crowded,54,0.02,left,right,0.2932676769999034,false,0
Block 1: Binocular_Standard,0,-0.05,left,left,0.2929145850000623,correct,1
Block 1: Binocular_Standard,1,-0.2,left,left,0.2932729530000415,correct,1
Block 1: Binocular_Standard,2,0.08,right,right,0.303305483000031,correct,1
Block 1: Binocular_Standard,3,0.23,right,right,0.20246535700016466,correct,1
Block 1: Binocular_Standard,4,0.035,right,right,0.5568062269999245,correct,1
Block 1: Binocular_Standard,5,0.22,right,right,0.8399209449999034,correct,1
Block 1: Binocular_Standard,6,-0.043,left,left,0.36439095700006874,correct,1
Block 1: Binocular_Standard,7,-0.03,left,left,0.3945980940000027,correct,1
Block 1: Binocular_Standard,8,-0.04,left,left,0.3742441759998201,correct,1
Block 1: Binocular_Standard,9,-0.02,left,left,0.33386506200008625,correct,1
Block 1: Binocular_Standard,10,0.043,right,right,0.49531075999993845,correct,1
Block 1: Binocular_Standard,11,0.19,right,right,0.5768390460000319,correct,1
Block 1: Binocular_Standard,12,0.06,right,right,0.3033097730001373,correct,1
Block 1: Binocular_Standard,13,0.11,right,right,0.2834369130000596,correct,1
Block 1: Binocular_Standard,14,-0.14,left,left,0.18194223499995132,correct,1
Block 1: Binocular_Standard,15,0.16,right,right,0.2223589870000069,correct,1
Block 1: Binocular_Standard,16,-0.131,left,left,0.2128579609998269,correct,1
Block 1: Binocular_Standard,17,0.12,right,right,0.1717066530000011,correct,1
Block 1: Binocular_Standard,18,-0.16,left,left,0.18179262300009214,correct,1
Block 1: Binocular_Standard,19,-0.12,left,left,0.22251512100001491,correct,1
Block 1: Binocular_Standard,20,-0.19,left,left,0.22212282200007394,correct,1
Block 1: Binocular_Standard,21,-0.035,left,left,0.2424089250000634,correct,1
Block 1: Binocular_Standard,22,0.14,right,right,0.18207973500011576,correct,1
Block 1: Binocular_Standard,23,-0.18,left,left,0.17179982399989058,correct,1
Block 1: Binocular_Standard,24,-0.13,left,left,0.17184408100001747,correct,1
Block 1: Binocular_Standard,25,-0.15,left,left,0.19248751800000719,correct,1
Block 1: Binocular_Standard,26,-0.206,left,left,0.2629741749999539,correct,1
Block 1: Binocular_Standard,27,0.0,left,right,0.7092798279998078,false,0
Block 1: Binocular_Standard,28,0.07,right,right,0.15158032699991963,correct,1
Block 1: Binocular_Standard,29,0.03,right,right,0.25285310799995386,correct,1
