label,trials,offset,trial_spacing,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Standard,0,0.15,0,left,right,1.0891534999827854,false,0
Block 1: Binocular_Standard,1,0.16,0,right,right,0.3088088000076823,correct,1
Block 1: Binocular_Standard,2,0.16,0,right,right,0.3447283999994397,correct,1
Block 1: Binocular_Standard,3,-0.15,0,left,left,0.379205200006254,correct,1
Block 1: Binocular_Standard,4,-0.15,0,left,left,0.3391713000019081,correct,1
Block 1: Binocular_Standard,5,0.13999999999999999,0,right,right,0.2468726000515744,correct,1
Block 1: Binocular_Standard,6,-0.13999999999999999,0,left,left,0.26712899998528883,correct,1
Block 1: Binocular_Standard,7,-0.12999999999999998,0,left,left,0.31016599998110905,correct,1
Block 1: Binocular_Standard,8,-0.12999999999999998,0,left,left,0.37912840000353754,correct,1
Block 1: Binocular_Standard,9,-0.11999999999999998,0,left,left,0.3373291000025347,correct,1
Block 1: Binocular_Standard,10,0.11999999999999998,0,right,right,0.277528100006748,correct,1
Block 1: Binocular_Standard,11,0.10999999999999999,0,right,right,0.3809091000002809,correct,1
Block 1: Binocular_Standard,12,0.10999999999999999,0,right,right,0.3708152999752201,correct,1
Block 1: Binocular_Standard,13,-0.09999999999999999,0,left,left,0.2985274000093341,correct,1
Block 1: Binocular_Standard,14,-0.09999999999999999,0,left,left,0.2960284000146203,correct,1
Block 1: Binocular_Standard,15,0.09,0,right,right,0.3377029999974184,correct,1
Block 1: Binocular_Standard,16,0.09,0,right,right,0.42333309998502955,correct,1
Block 1: Binocular_Standard,17,0.08,0,right,right,0.3959706000168808,correct,1
Block 1: Binocular_Standard,18,-0.08,0,left,left,0.3081079999683425,correct,1
Block 1: Binocular_Standard,19,0.07,0,right,right,0.27742749999742955,correct,1
Block 1: Binocular_Standard,20,0.07,0,right,right,0.34879950003232807,correct,1
Block 1: Binocular_Standard,21,-0.060000000000000005,0,left,left,0.33865119999973103,correct,1
Block 1: Binocular_Standard,22,-0.060000000000000005,0,left,left,0.39226310001686215,correct,1
Block 1: Binocular_Standard,23,0.05,0,right,right,0.3183028000057675,correct,1
Block 1: Binocular_Standard,24,0.05,0,right,right,0.43181079998612404,correct,1
Block 1: Binocular_Standard,25,-0.04,0,left,left,0.31676379998680204,correct,1
Block 1: Binocular_Standard,26,0.04,0,right,right,0.5157325000036508,correct,1
Block 1: Binocular_Standard,27,0.03,0,right,right,0.6483736000373028,correct,1
Block 1: Binocular_Standard,28,-0.03,0,left,left,0.3398610000149347,correct,1
Block 1: Binocular_Standard,29,-0.019999999999999997,0,left,left,0.5758646000176668,correct,1
Block 1: Binocular_Standard,30,0.019999999999999997,0,left,right,0.7598665000405163,false,0
Block 1: Binocular_Standard,31,0.03,0,right,right,0.29775100003462285,correct,1
Block 1: Binocular_Standard,32,-0.03,0,left,left,0.3903918999712914,correct,1
Block 1: Binocular_Standard,33,-0.019999999999999997,0,left,left,1.8656936999759637,correct,1
Block 1: Binocular_Standard,34,-0.019999999999999997,0,left,left,0.46254949999274686,correct,1
Block 1: Binocular_Standard,35,-0.009999999999999997,0,left,left,0.9386558999540284,correct,1
Block 1: Binocular_Standard,36,-0.009999999999999997,0,right,left,0.5959477999713272,false,0
Block 1: Binocular_Standard,37,0.019999999999999997,0,right,right,0.5963288999628276,correct,1
Block 1: Binocular_Standard,38,0.019999999999999997,0,left,right,0.4432651000097394,false,0
Block 1: Binocular_Standard,39,0.03,0,right,right,0.28648820001399145,correct,1
Block 1: Binocular_Standard,40,0.03,0,right,right,0.40066549996845424,correct,1
Block 1: Binocular_Standard,41,-0.019999999999999997,0,left,left,0.35911650001071393,correct,1
Block 1: Binocular_Standard,42,-0.019999999999999997,0,left,left,0.6999878999777138,correct,1
Block 1: Binocular_Standard,43,-0.009999999999999997,0,left,left,1.0214123000041582,correct,1
Block 1: Binocular_Standard,44,-0.009999999999999997,0,left,left,1.9490380000206642,correct,1
Block 1: Binocular_Standard,45,0,0,left,left,2.2135986000066623,correct,1
Block 1: Binocular_Standard,46,0,0,right,left,0.7417210999992676,false,0
Block 1: Binocular_Standard,47,-0.01,0,left,left,0.8519770000129938,correct,1
Block 1: Binocular_Standard,48,0.01,0,right,right,0.5361165999784134,correct,1
Block 1: Binocular_Standard,49,-0.0,0,right,left,2.455855500011239,false,0
Block 1: Binocular_Standard,50,-0.01,0,left,left,0.8129627999733202,correct,1
Block 1: Binocular_Standard,51,0.01,0,left,right,0.7338269999600016,false,0
Block 1: Binocular_Standard,52,-0.02,0,right,left,0.5146670999820344,false,0
Block 1: Binocular_Standard,53,-0.03,0,left,left,0.5351224999758415,correct,1
Block 1: Binocular_Standard,54,0.03,0,left,right,1.4117197000305168,false,0
Block 1: Binocular_Standard,55,0.04,0,right,right,0.2965629000100307,correct,1
Block 1: Binocular_Standard,56,-0.04,0,left,left,0.35847120004473254,correct,1
Block 1: Binocular_Standard,57,0.03,0,right,right,0.5050036000320688,correct,1
Block 1: Binocular_Standard,58,0.03,0,right,right,0.6631663999869488,correct,1
Block 1: Binocular_Standard,59,-0.019999999999999997,0,left,left,0.7389050000347197,correct,1
Block 1: Binocular_Standard,60,0.019999999999999997,0,left,right,1.267467800003942,false,0
Block 1: Binocular_Standard,61,0.03,0,right,right,0.3904136000201106,correct,1
Block 1: Binocular_Standard,62,0.03,0,right,right,0.44134060002397746,correct,1
Block 1: Binocular_Standard,63,-0.019999999999999997,0,left,left,0.43093930004397407,correct,1
Block 1: Binocular_Standard,64,-0.019999999999999997,0,left,left,1.9983148000319488,correct,1
