label,trials,offset,trial_spacing,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Standard,0,-0.15,0,left,left,1.1516360000000532,correct,1
Block 1: Binocular_Standard,1,-0.15,0,left,left,0.3895534999996926,correct,1
Block 1: Binocular_Standard,2,0.13999999999999999,0,right,right,0.31803880000006757,correct,1
Block 1: Binocular_Standard,3,-0.13999999999999999,0,left,left,0.2736370000002353,correct,1
Block 1: Binocular_Standard,4,-0.12999999999999998,0,left,left,0.3451628000002529,correct,1
Block 1: Binocular_Standard,5,-0.12999999999999998,0,left,left,0.2690188000001399,correct,1
Block 1: Binocular_Standard,6,0.11999999999999998,0,right,right,0.37126279999984035,correct,1
Block 1: Binocular_Standard,7,-0.11999999999999998,0,left,left,0.29453949999970064,correct,1
Block 1: Binocular_Standard,8,0.10999999999999999,0,right,right,0.36169980000022406,correct,1
Block 1: Binocular_Standard,9,-0.10999999999999999,0,left,left,0.35132229999999254,correct,1
Block 1: Binocular_Standard,10,0.09999999999999999,0,right,right,0.2840240000000449,correct,1
Block 1: Binocular_Standard,11,0.09999999999999999,0,right,right,0.4916306000000077,correct,1
Block 1: Binocular_Standard,12,0.09,0,right,right,0.26179050000018833,correct,1
Block 1: Binocular_Standard,13,-0.09,0,left,left,0.3373083999999835,correct,1
Block 1: Binocular_Standard,14,-0.08,0,left,left,0.3167759000002661,correct,1
Block 1: Binocular_Standard,15,-0.08,0,left,left,0.3314805999998498,correct,1
Block 1: Binocular_Standard,16,0.07,0,right,right,0.2958054999999149,correct,1
Block 1: Binocular_Standard,17,0.07,0,right,right,0.35544820000041,correct,1
Block 1: Binocular_Standard,18,0.060000000000000005,0,right,right,0.24620229999982257,correct,1
Block 1: Binocular_Standard,19,-0.060000000000000005,0,left,left,0.3286281999999119,correct,1
Block 1: Binocular_Standard,20,-0.05,0,left,left,0.3561773000001267,correct,1
Block 1: Binocular_Standard,21,0.05,0,right,right,0.362713900000017,correct,1
Block 1: Binocular_Standard,22,-0.04,0,left,left,0.3047704000000522,correct,1
Block 1: Binocular_Standard,23,0.04,0,right,right,0.35552019999977347,correct,1
Block 1: Binocular_Standard,24,-0.03,0,left,left,0.32672500000035143,correct,1
Block 1: Binocular_Standard,25,0.03,0,right,right,0.3130611999999928,correct,1
Block 1: Binocular_Standard,26,-0.019999999999999997,0,left,left,0.5088007000003927,correct,1
Block 1: Binocular_Standard,27,-0.019999999999999997,0,left,left,0.38364359999968656,correct,1
Block 1: Binocular_Standard,28,-0.009999999999999997,0,left,left,0.3094267999999829,correct,1
Block 1: Binocular_Standard,29,-0.009999999999999997,0,left,left,0.33784979999973075,correct,1
Block 1: Binocular_Standard,30,0,0,right,left,0.2738200000003417,false,0
Block 1: Binocular_Standard,31,0.01,0,left,right,0.3988186000001406,false,0
Block 1: Binocular_Standard,32,0.02,0,right,right,0.6343262000000323,correct,1
Block 1: Binocular_Standard,33,-0.02,0,left,left,0.44352480000043215,correct,1
Block 1: Binocular_Standard,34,0.01,0,right,right,0.42287030000034065,correct,1
Block 1: Binocular_Standard,35,-0.01,0,left,left,0.5341349999998783,correct,1
Block 1: Binocular_Standard,36,0.0,0,right,right,0.39233409999997093,correct,1
Block 1: Binocular_Standard,37,-0.0,0,right,left,0.45776789999990797,false,0
Block 1: Binocular_Standard,38,0.01,0,left,right,0.4186907000002975,false,0
Block 1: Binocular_Standard,39,-0.02,0,right,left,0.4961188000002039,false,0
Block 1: Binocular_Standard,40,0.03,0,right,right,0.4127355999999054,correct,1
Block 1: Binocular_Standard,41,0.03,0,right,right,0.45253320000028907,correct,1
Block 1: Binocular_Standard,42,0.019999999999999997,0,left,right,0.44944210000039675,false,0
Block 1: Binocular_Standard,43,0.03,0,right,right,0.49243399999977555,correct,1
