label,trials,offset,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Crowded,0,-0.07,right,left,1.042842945999837,false,0
Block 1: Binocular_Crowded,1,0.09,right,right,0.7186424410001564,correct,1
Block 1: Binocular_Crowded,2,0.11,right,right,0.9112901830003466,correct,1
Block 1: Binocular_Crowded,3,0.21,right,right,0.5875424199998633,correct,1
Block 1: Binocular_Crowded,4,0.12,right,right,1.144285127999865,correct,1
Block 1: Binocular_Crowded,5,-0.06,left,left,0.6675988719998713,correct,1
Block 1: Binocular_Crowded,6,0.1,right,right,0.6883827329997985,correct,1
Block 1: Binocular_Crowded,7,0.02,right,right,0.5865762640000867,correct,1
Block 1: Binocular_Crowded,8,0.08,right,right,0.4557771820000198,correct,1
Block 1: Binocular_Crowded,9,-0.18,left,left,0.4151108769997336,correct,1
Block 1: Binocular_Crowded,10,-0.23,left,left,0.4958157249998294,correct,1
Block 1: Binocular_Crowded,11,-0.17,left,left,0.48536338600024465,correct,1
Block 1: Binocular_Crowded,12,0.07,right,right,0.566615420999824,correct,1
Block 1: Binocular_Crowded,13,0.03,left,right,0.45521873100005905,false,0
Block 1: Binocular_Crowded,14,0.15,right,right,0.6478469290000248,correct,1
Block 1: Binocular_Crowded,15,-0.09,left,left,0.5062070019998828,correct,1
Block 1: Binocular_Crowded,16,0.131,right,right,0.4755622409998068,correct,1
Block 1: Binocular_Crowded,17,0.22,right,right,0.5157007419998081,correct,1
Block 1: Binocular_Crowded,18,-0.22,left,left,0.48634146099993814,correct,1
Block 1: Binocular_Crowded,19,-0.08,left,left,0.5060452669999904,correct,1
Block 1: Binocular_Crowded,20,-0.13,left,left,0.46655966799971793,correct,1
Block 1: Binocular_Crowded,21,0.206,right,right,0.5672394570001416,correct,1
Block 1: Binocular_Crowded,22,0.01,left,right,0.48603556599982767,false,0
Block 1: Binocular_Crowded,23,-0.11,left,left,0.46559522400002606,correct,1
Block 1: Binocular_Crowded,24,-0.02,right,left,0.6680519400001685,false,0
Block 1: Binocular_Crowded,25,-0.043,left,left,0.4247676479999427,correct,1
Block 1: Binocular_Crowded,26,0.05,left,right,0.5670297350002329,false,0
Block 1: Binocular_Crowded,27,-0.2,left,left,0.5072072680000019,correct,1
Block 1: Binocular_Crowded,28,0.043,right,right,0.4250526680002622,correct,1
Block 1: Binocular_Crowded,29,-0.131,left,left,0.47535089800021524,correct,1
Block 1: Binocular_Crowded,30,0.06,left,right,0.486362649000057,false,0
Block 1: Binocular_Crowded,31,0.13,right,right,0.4151266150001902,correct,1
Block 1: Binocular_Crowded,32,0.18,right,right,0.4350469599999087,correct,1
Block 1: Binocular_Crowded,33,-0.16,left,left,0.4957757870001842,correct,1
Block 1: Binocular_Crowded,34,0.035,right,right,0.476039308000054,correct,1
Block 1: Binocular_Crowded,35,0.23,right,right,0.49631145600005766,correct,1
Block 1: Binocular_Crowded,36,0.17,right,right,0.4959105200000522,correct,1
Block 1: Binocular_Crowded,37,-0.15,left,left,0.3844291830000657,correct,1
Block 1: Binocular_Crowded,38,-0.12,left,left,0.3749596469997414,correct,1
Block 1: Binocular_Crowded,39,-0.035,right,left,0.4049477290000141,false,0
Block 1: Binocular_Crowded,40,0.2,right,right,0.3949891209999805,correct,1
Block 1: Binocular_Crowded,41,0.0,left,right,0.4353715789998205,false,0
Block 1: Binocular_Crowded,42,-0.1,left,left,0.3944188139998914,correct,1
Block 1: Binocular_Crowded,43,-0.01,right,left,0.43501360300024317,false,0
Block 1: Binocular_Crowded,44,-0.14,left,left,0.3538087340002676,correct,1
Block 1: Binocular_Crowded,45,-0.04,right,left,0.4045891299997493,false,0
Block 1: Binocular_Crowded,46,-0.19,left,left,0.353626634000193,correct,1
Block 1: Binocular_Crowded,47,-0.03,left,left,0.3946341699997902,correct,1
Block 1: Binocular_Crowded,48,0.04,right,right,0.6072597930001393,correct,1
Block 1: Binocular_Crowded,49,-0.05,left,left,0.3641248160001851,correct,1
Block 1: Binocular_Crowded,50,-0.21,left,left,0.42507102700028554,correct,1
Block 1: Binocular_Crowded,51,0.19,right,right,0.3650067569997191,correct,1
Block 1: Binocular_Crowded,52,0.16,right,right,0.3039491720001024,correct,1
Block 1: Binocular_Crowded,53,-0.206,left,left,0.33447035200015307,correct,1
Block 1: Binocular_Crowded,54,0.14,right,right,0.30331142499971975,correct,1
Block 2: Binocular_Standard,0,-0.08,left,left,0.5667794159999175,correct,1
Block 2: Binocular_Standard,1,0.16,right,right,0.41518277599971043,correct,1
Block 2: Binocular_Standard,2,0.11,right,right,0.40469167999981437,correct,1
Block 2: Binocular_Standard,3,0.043,right,right,0.4050333969998974,correct,1
Block 2: Binocular_Standard,4,0.05,right,right,0.4047391500002959,correct,1
Block 2: Binocular_Standard,5,-0.16,left,left,0.44549418200040236,correct,1
Block 2: Binocular_Standard,6,0.08,right,right,0.35473915200009287,correct,1
Block 2: Binocular_Standard,7,0.15,right,right,0.37441045399964423,correct,1
Block 2: Binocular_Standard,8,-0.07,left,left,0.3745440329998928,correct,1
Block 2: Binocular_Standard,9,-0.21,left,left,0.36466578999988997,correct,1
Block 2: Binocular_Standard,10,0.13,right,right,0.3541488260002552,correct,1
Block 2: Binocular_Standard,11,0.1,right,right,0.3342442920002213,correct,1
Block 2: Binocular_Standard,12,-0.05,left,left,0.6583261780001521,correct,1
Block 2: Binocular_Standard,13,0.07,right,right,0.4456870300000446,correct,1
Block 2: Binocular_Standard,14,-0.19,left,left,0.41510306100008165,correct,1
Block 2: Binocular_Standard,15,-0.01,left,left,0.485905381000066,correct,1
Block 2: Binocular_Standard,16,0.12,right,right,0.35435116200005723,correct,1
Block 2: Binocular_Standard,17,-0.06,left,left,0.3846884390000014,correct,1
Block 2: Binocular_Standard,18,0.0,left,right,0.35413764900022215,false,0
Block 2: Binocular_Standard,19,0.03,right,right,0.3134980660001929,correct,1
Block 2: Binocular_Standard,20,0.22,right,right,0.3640707599997768,correct,1
Block 2: Binocular_Standard,21,0.23,right,right,0.3951506700000209,correct,1
Block 2: Binocular_Standard,22,-0.11,left,left,0.3844029829997453,correct,1
Block 2: Binocular_Standard,23,-0.02,left,left,0.3955615999998372,correct,1
Block 2: Binocular_Standard,24,-0.09,left,left,0.36424991000012596,correct,1
Block 2: Binocular_Standard,25,0.17,right,right,0.4045941889999085,correct,1
