label,trials,offset,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Standard,0,-0.17,left,left,0.4823355400000082,correct,1
Block 1: Binocular_Standard,1,0.11,right,right,0.4165551140000048,correct,1
Block 1: Binocular_Standard,2,-0.03,left,left,0.4449534880000101,correct,1
Block 1: Binocular_Standard,3,0.16,right,right,0.3547770400000445,correct,1
Block 1: Binocular_Standard,4,-0.131,left,left,0.44583523599999353,correct,1
Block 1: Binocular_Standard,5,0.07,right,right,0.37409893299997066,correct,1
Block 1: Binocular_Standard,6,-0.22,left,left,0.35375159100004794,correct,1
Block 1: Binocular_Standard,7,-0.14,left,left,0.33413340600003494,correct,1
Block 1: Binocular_Standard,8,0.043,right,right,0.33355893899999955,correct,1
Block 1: Binocular_Standard,9,0.03,right,right,0.4248052940000093,correct,1
Block 1: Binocular_Standard,10,0.15,right,right,0.3439577759999679,correct,1
Block 1: Binocular_Standard,11,0.206,right,right,0.3743866979999666,correct,1
Block 1: Binocular_Standard,12,-0.043,left,left,0.37481233500000144,correct,1
Block 1: Binocular_Standard,13,0.14,right,right,0.3337860620000015,correct,1
Block 1: Binocular_Standard,14,-0.19,left,left,0.4249882039999875,correct,1
Block 1: Binocular_Standard,15,-0.1,left,left,0.31341476099999,correct,1
Block 1: Binocular_Standard,16,-0.035,left,left,0.3846667299999922,correct,1
Block 1: Binocular_Standard,17,0.04,right,right,0.44523690600004784,correct,1
Block 1: Binocular_Standard,18,0.2,right,right,0.4552113659999577,correct,1
Block 1: Binocular_Standard,19,-0.02,left,left,0.9316788780000138,correct,1
Block 1: Binocular_Standard,20,-0.09,left,left,0.415276834999986,correct,1
Block 1: Binocular_Standard,21,-0.12,left,left,0.4655516870000156,correct,1
Block 1: Binocular_Standard,22,0.08,right,right,0.39474053800000775,correct,1
Block 1: Binocular_Standard,23,-0.06,left,left,0.9107962140000154,correct,1
Block 1: Binocular_Standard,24,0.22,right,right,0.44554684899998165,correct,1
Block 1: Binocular_Standard,25,0.18,right,right,0.48571128300000055,correct,1
Block 1: Binocular_Standard,26,0.0,left,right,0.4860330359999807,false,0
Block 1: Binocular_Standard,27,0.05,right,right,0.42458508500004655,correct,1
Block 1: Binocular_Standard,28,-0.04,left,left,0.4761973859999671,correct,1
Block 1: Binocular_Standard,29,-0.18,left,left,0.5870499910000149,correct,1
Block 1: Binocular_Standard,30,-0.07,left,left,0.4350892250000129,correct,1
Block 1: Binocular_Standard,31,0.035,left,right,0.8308767689999854,false,0
Block 1: Binocular_Standard,32,0.19,right,right,0.374436725999999,correct,1
Block 1: Binocular_Standard,33,0.01,left,right,0.5977279989999715,false,0
Block 1: Binocular_Standard,34,0.131,right,right,0.4452990750000936,correct,1
Block 1: Binocular_Standard,35,-0.21,left,left,0.4551616749999994,correct,1
Block 1: Binocular_Standard,36,-0.206,left,left,0.42500406599992857,correct,1
Block 1: Binocular_Standard,37,-0.01,right,left,0.4755817710000656,false,0
Block 1: Binocular_Standard,38,0.12,right,right,0.46527069699993717,correct,1
Block 1: Binocular_Standard,39,0.17,right,right,0.4053807630000392,correct,1
Block 1: Binocular_Standard,40,-0.08,left,left,0.3339809020000075,correct,1
Block 1: Binocular_Standard,41,-0.16,left,left,0.3944552980000253,correct,1
Block 1: Binocular_Standard,42,-0.05,left,left,0.40468788999999106,correct,1
Block 1: Binocular_Standard,43,-0.2,left,left,0.698690307999982,correct,1
Block 1: Binocular_Standard,44,0.06,right,right,0.4043737399999827,correct,1
Block 1: Binocular_Standard,45,0.21,right,right,0.4151621299999988,correct,1
Block 1: Binocular_Standard,46,-0.13,left,left,0.30344484400006877,correct,1
Block 1: Binocular_Standard,47,0.02,left,right,0.4048022409999703,false,0
Block 1: Binocular_Standard,48,0.13,right,right,0.29318021000005956,correct,1
Block 1: Binocular_Standard,49,-0.23,left,left,0.3743268950000811,correct,1
Block 1: Binocular_Standard,50,-0.11,left,left,0.44525093599997945,correct,1
Block 1: Binocular_Standard,51,-0.15,left,left,0.4452530729998898,correct,1
Block 1: Binocular_Standard,52,0.1,right,right,0.3647833869999886,correct,1
Block 1: Binocular_Standard,53,0.23,right,right,0.404384594000021,correct,1
Block 1: Binocular_Standard,54,0.09,right,right,0.4550831560000006,correct,1
Block 2: Binocular_Crowded,0,0.23,right,right,1.0125802270000577,correct,1
Block 2: Binocular_Crowded,1,-0.13,left,left,0.547484274999988,correct,1
Block 2: Binocular_Crowded,2,-0.21,left,left,1.1244131589999142,correct,1
Block 2: Binocular_Crowded,3,0.15,right,right,0.8401751339999919,correct,1
Block 2: Binocular_Crowded,4,-0.035,left,left,0.6583333359999415,correct,1
Block 2: Binocular_Crowded,5,0.06,left,right,0.5971010940000951,false,0
Block 2: Binocular_Crowded,6,0.035,left,right,0.5160571859998981,false,0
Block 2: Binocular_Crowded,7,-0.01,left,left,0.37403752299996995,correct,1
Block 2: Binocular_Crowded,8,-0.18,left,left,0.8101232089999257,correct,1
Block 2: Binocular_Crowded,9,-0.16,left,left,0.5869999999999891,correct,1
Block 2: Binocular_Crowded,10,0.2,right,right,0.526316874000031,correct,1
Block 2: Binocular_Crowded,11,0.14,right,right,0.8501903779999793,correct,1
Block 2: Binocular_Crowded,12,-0.08,left,left,0.43460491099995124,correct,1
Block 2: Binocular_Crowded,13,0.05,right,right,0.7086284690000184,correct,1
Block 2: Binocular_Crowded,14,0.04,left,right,0.556848600999956,false,0
Block 2: Binocular_Crowded,15,0.18,right,right,0.5174267359999476,correct,1
Block 2: Binocular_Crowded,16,-0.05,right,left,0.49611739199997373,false,0
Block 2: Binocular_Crowded,17,0.08,right,right,0.3944467869999926,correct,1
Block 2: Binocular_Crowded,18,-0.04,right,left,0.3536924180000369,false,0
Block 2: Binocular_Crowded,19,-0.06,right,left,0.4251284740000756,false,0
Block 2: Binocular_Crowded,20,-0.03,left,left,0.2223331479999615,correct,1
Block 2: Binocular_Crowded,21,0.16,right,right,0.44546039199997267,correct,1
Block 2: Binocular_Crowded,22,-0.19,left,left,0.34398214400005145,correct,1
Block 2: Binocular_Crowded,23,-0.09,left,left,0.39452520299994376,correct,1
Block 2: Binocular_Crowded,24,0.19,right,right,0.5162553160000698,correct,1
Block 2: Binocular_Crowded,25,0.11,right,right,0.45525662199997896,correct,1
Block 2: Binocular_Crowded,26,0.01,left,right,0.34382013200001893,false,0
Block 2: Binocular_Crowded,27,-0.23,left,left,0.45511444900000697,correct,1
Block 2: Binocular_Crowded,28,0.03,left,right,0.607019121999997,false,0
Block 2: Binocular_Crowded,29,-0.07,left,left,0.6280264640000723,correct,1
Block 2: Binocular_Crowded,30,-0.1,left,left,0.35410390600009123,correct,1
Block 2: Binocular_Crowded,31,-0.2,left,left,0.34366963800005124,correct,1
Block 2: Binocular_Crowded,32,-0.206,left,left,0.37395005400003356,correct,1
Block 2: Binocular_Crowded,33,-0.12,left,left,0.3035436650000065,correct,1
Block 2: Binocular_Crowded,34,0.206,right,right,0.3845188989999997,correct,1
Block 2: Binocular_Crowded,35,-0.17,left,left,0.28293659799999205,correct,1
Block 2: Binocular_Crowded,36,-0.131,left,left,0.5464722989999018,correct,1
Block 2: Binocular_Crowded,37,-0.22,left,left,0.5059473449999814,correct,1
Block 2: Binocular_Crowded,38,0.12,right,right,0.49604466200003117,correct,1
Block 2: Binocular_Crowded,39,-0.11,left,left,0.445168888000012,correct,1
Block 2: Binocular_Crowded,40,0.0,left,right,0.4651687250000123,false,0
Block 2: Binocular_Crowded,41,0.22,right,right,0.4148193820000188,correct,1
Block 2: Binocular_Crowded,42,-0.02,right,left,0.34412493299998914,false,0
Block 2: Binocular_Crowded,43,0.09,left,right,0.38507283600006303,false,0
Block 2: Binocular_Crowded,44,0.1,left,right,0.3436044810000567,false,0
Block 2: Binocular_Crowded,45,0.13,right,right,0.21223475499994038,correct,1
Block 2: Binocular_Crowded,46,0.02,right,right,0.2323270639999464,correct,1
Block 2: Binocular_Crowded,47,-0.15,left,left,0.45682047999991937,correct,1
