label,trials,offset,keys,direction,response_time,statement,response_numeric
Block 2: Binocular_C,7,-0.25,['left'],left,0.950755878999189,correct,1
Block 2: Binocular_C,8,-0.2,['right'],left,0.726980057000219,false,0
Block 2: Binocular_C,9,-0.25,['left'],left,0.5342251579995718,correct,1
Block 2: Binocular_C,10,-0.25,['left'],left,1.0944229730002917,correct,1
Block 2: Binocular_C,11,-0.2,['left'],left,0.8158086459998231,correct,1
Block 2: Binocular_C,12,-0.2,['left'],left,0.8141667989993948,correct,1
Block 2: Binocular_C,13,-0.15000000000000002,['left'],left,0.5665496340006939,correct,1
Block 2: Binocular_C,14,-0.15000000000000002,['left'],left,0.6148189839996121,correct,1
Block 2: Binocular_C,15,0.25,['right'],right,0.4630428139998912,correct,1
Block 2: Binocular_C,16,-0.10000000000000002,['right'],left,0.5410640190002596,false,0
Block 2: Binocular_C,17,0.2,['left'],right,0.6541908540002623,false,0
Block 2: Binocular_C,18,-0.15000000000000002,['right'],left,0.45492519100025675,false,0
Block 2: Binocular_C,19,0.25,['right'],right,0.6463815469996916,correct,1
Block 2: Binocular_C,20,-0.2,['right'],left,1.2131131979995189,false,0
Block 2: Binocular_C,21,0.25,['right'],right,0.4614102469995487,correct,1
Block 2: Binocular_C,22,0.2,['right'],right,0.43046178800068446,correct,1
Block 2: Binocular_C,23,0.2,['right'],right,0.3726649289992565,correct,1
Block 2: Binocular_C,24,0.15000000000000002,['left'],right,0.8471963430001779,false,0
Block 2: Binocular_C,25,-0.25,['left'],left,0.5496261700000105,correct,1
Block 2: Binocular_C,26,0.2,['right'],right,0.5908969559995967,correct,1
Block 2: Binocular_C,27,-0.25,['left'],left,0.41410731400083023,correct,1
Block 2: Binocular_C,28,-0.2,['left'],left,0.6053110779994313,correct,1
Block 2: Binocular_C,29,-0.2,['right'],left,0.5658568879998711,false,0
Block 2: Binocular_C,30,-0.25,['right'],left,0.502941400999589,false,0
Block 2: Binocular_C,31,0.2,['right'],right,0.7582466279991422,correct,1
Block 2: Binocular_C,32,-0.3,['left'],left,1.5178139969993936,correct,1
Block 2: Binocular_C,33,0.15000000000000002,['right'],right,0.5107393850003064,correct,1
Block 2: Binocular_C,34,-0.3,['right'],left,0.5724161029993411,false,0
Block 2: Binocular_C,35,-0.35,['right'],left,0.5666646479994597,false,0
