label,trials,offset,trial_spacing,keys,direction,response_time,accuracy,response_numeric
Block 1: Binocular_Standard,0,-0.15,0,left,left,0.5141801999998279,correct,1
Block 1: Binocular_Standard,1,0.15,0,right,right,0.4574586999951862,correct,1
Block 1: Binocular_Standard,2,0.13999999999999999,0,right,right,0.45255859999451786,correct,1
Block 1: Binocular_Standard,3,0.13999999999999999,0,right,right,0.42025140003534034,correct,1
Block 1: Binocular_Standard,4,0.12999999999999998,0,right,right,0.38015720003750175,correct,1
Block 1: Binocular_Standard,5,0.12999999999999998,0,right,right,0.3480894999811426,correct,1
Block 1: Binocular_Standard,6,0.11999999999999998,0,right,right,0.329323599988129,correct,1
Block 1: Binocular_Standard,7,0.11999999999999998,0,right,right,0.34971819998463616,correct,1
Block 1: Binocular_Standard,8,-0.10999999999999999,0,left,left,0.3280316999880597,correct,1
Block 1: Binocular_Standard,9,-0.10999999999999999,0,left,left,0.3806580000091344,correct,1
Block 1: Binocular_Standard,10,-0.09999999999999999,0,left,left,0.3585101999924518,correct,1
Block 1: Binocular_Standard,11,-0.09999999999999999,0,left,left,0.34962289995746687,correct,1
Block 1: Binocular_Standard,12,0.09,0,right,right,0.359887600003276,correct,1
Block 1: Binocular_Standard,13,-0.09,0,left,left,0.29793969995807856,correct,1
Block 1: Binocular_Standard,14,0.08,0,right,right,0.33943019999423996,correct,1
Block 1: Binocular_Standard,15,0.08,0,right,right,0.3085595999727957,correct,1
Block 1: Binocular_Standard,16,-0.07,0,left,left,0.3292547999881208,correct,1
Block 1: Binocular_Standard,17,0.07,0,right,right,0.35942630004137754,correct,1
Block 1: Binocular_Standard,18,-0.060000000000000005,0,left,left,0.3294192000175826,correct,1
Block 1: Binocular_Standard,19,0.060000000000000005,0,right,right,0.3496269999886863,correct,1
Block 1: Binocular_Standard,20,-0.05,0,left,left,0.32856279995758086,correct,1
Block 1: Binocular_Standard,21,0.05,0,right,right,0.3291153999743983,correct,1
Block 1: Binocular_Standard,22,-0.04,0,left,left,0.33940389996860176,correct,1
Block 1: Binocular_Standard,23,0.04,0,right,right,0.31924729997990653,correct,1
Block 1: Binocular_Standard,24,0.03,0,right,right,0.42165630002273247,correct,1
Block 1: Binocular_Standard,25,0.03,0,right,right,0.46561789995757863,correct,1
Block 1: Binocular_Standard,26,0.019999999999999997,0,right,right,0.39015550003387034,correct,1
Block 1: Binocular_Standard,27,0.019999999999999997,0,left,right,0.3701184999663383,false,0
Block 1: Binocular_Standard,28,0.03,0,right,right,0.44085290003567934,correct,1
Block 1: Binocular_Standard,29,0.03,0,right,right,0.4408228999818675,correct,1
Block 1: Binocular_Standard,30,0.019999999999999997,0,left,right,0.465692300000228,false,0
Block 1: Binocular_Standard,31,-0.03,0,left,left,0.3992611999856308,correct,1
Block 1: Binocular_Standard,32,0.03,0,right,right,0.3914529000176117,correct,1
Block 1: Binocular_Standard,33,-0.019999999999999997,0,left,left,0.41267079999670386,correct,1
Block 1: Binocular_Standard,34,-0.019999999999999997,0,left,left,0.505834000010509,correct,1
Block 1: Binocular_Standard,35,-0.009999999999999997,0,left,left,0.6807890000054613,correct,1
Block 1: Binocular_Standard,36,0.009999999999999997,0,left,right,0.6493292999803089,false,0
Block 1: Binocular_Standard,37,0.019999999999999997,0,right,right,0.5744598000310361,correct,1
Block 1: Binocular_Standard,38,-0.019999999999999997,0,left,left,0.586533599998802,correct,1
Block 1: Binocular_Standard,39,0.009999999999999997,0,left,right,0.6901770999538712,false,0
Block 1: Binocular_Standard,40,-0.019999999999999997,0,left,left,0.5345170999644324,correct,1
Block 1: Binocular_Standard,41,0.019999999999999997,0,right,right,0.524523500003852,correct,1
Block 1: Binocular_Standard,42,-0.009999999999999997,0,right,left,0.5856514999759383,false,0
Block 1: Binocular_Standard,43,-0.019999999999999997,0,left,left,0.4543114999542013,correct,1
Block 1: Binocular_Standard,44,-0.019999999999999997,0,left,left,0.43221950001316145,correct,1
Block 1: Binocular_Standard,45,0.009999999999999997,0,left,right,0.48361900000600144,false,0
Block 1: Binocular_Standard,46,-0.019999999999999997,0,left,left,0.3796015999978408,correct,1
Block 1: Binocular_Standard,47,-0.019999999999999997,0,left,left,0.4244864999782294,correct,1
Block 1: Binocular_Standard,48,-0.009999999999999997,0,left,left,0.3587835999787785,correct,1
Block 1: Binocular_Standard,49,0.009999999999999997,0,left,right,0.4614172000437975,false,0
Block 1: Binocular_Standard,50,0.019999999999999997,0,left,right,0.4209497999981977,false,0
Block 1: Binocular_Standard,51,0.03,0,right,right,0.3996997000067495,correct,1
Block 1: Binocular_Standard,52,0.03,0,left,right,0.3597857999848202,false,0
Block 1: Binocular_Standard,53,0.04,0,right,right,0.41111909999744967,correct,1
Block 1: Binocular_Standard,54,0.04,0,right,right,0.4009039999800734,correct,1
Block 1: Binocular_Standard,55,-0.03,0,left,left,0.5153781999833882,correct,1
Block 1: Binocular_Standard,56,-0.03,0,right,left,0.5638084000092931,false,0
Block 1: Binocular_Standard,57,-0.04,0,left,left,0.4232905000098981,correct,1
Block 1: Binocular_Standard,58,0.04,0,right,right,0.49327370000537485,correct,1
Block 1: Binocular_Standard,59,0.03,0,right,right,0.46122430003015324,correct,1
Block 1: Binocular_Standard,60,0.03,0,right,right,0.4183923999662511,correct,1
Block 1: Binocular_Standard,61,0.019999999999999997,0,right,right,0.41787080001085997,correct,1
Block 1: Binocular_Standard,62,0.019999999999999997,0,right,right,0.39822529995581135,correct,1
Block 1: Binocular_Standard,63,-0.009999999999999997,0,right,left,0.5451474000001326,false,0
Block 1: Binocular_Standard,64,-0.019999999999999997,0,left,left,0.40169770002830774,correct,1
Block 1: Binocular_Standard,65,-0.019999999999999997,0,left,left,0.40935370000079274,correct,1
Block 1: Binocular_Standard,66,-0.009999999999999997,0,left,left,0.37921210000058636,correct,1
Block 1: Binocular_Standard,67,-0.009999999999999997,0,right,left,0.47150019998662174,false,0
Block 1: Binocular_Standard,68,-0.019999999999999997,0,left,left,0.3087866000132635,correct,1
Block 1: Binocular_Standard,69,0.019999999999999997,0,left,right,0.3499641999951564,false,0
Block 1: Binocular_Standard,70,0.03,0,left,right,0.3391752000316046,false,0
Block 1: Binocular_Standard,71,0.04,0,right,right,0.36053659999743104,correct,1
Block 1: Binocular_Standard,72,-0.04,0,left,left,0.4121127999969758,correct,1
Block 1: Binocular_Standard,73,0.03,0,right,right,0.3490592999733053,correct,1
Block 1: Binocular_Standard,74,0.03,0,right,right,0.3400029999902472,correct,1
Block 1: Binocular_Standard,75,-0.019999999999999997,0,left,left,0.429984999995213,correct,1
Block 1: Binocular_Standard,76,0.019999999999999997,0,left,right,0.5361221000202931,false,0
Block 1: Binocular_Standard,77,-0.03,0,left,left,0.3298845000099391,correct,1
Block 1: Binocular_Standard,78,-0.03,0,left,left,0.48400599998421967,correct,1
Block 1: Binocular_Standard,79,0.019999999999999997,0,right,right,0.4333891000133008,correct,1
Block 1: Binocular_Standard,80,-0.019999999999999997,0,right,left,0.3794086999841966,false,0
Block 1: Binocular_Standard,81,-0.03,0,left,left,0.31713680003304034,correct,1
Block 1: Binocular_Standard,82,-0.03,0,left,left,0.36991079995641485,correct,1
Block 1: Binocular_Standard,83,0.019999999999999997,0,left,right,0.3482499999809079,false,0
Block 1: Binocular_Standard,84,0.03,0,right,right,0.3067215000046417,correct,1
Block 1: Binocular_Standard,85,-0.03,0,left,left,0.40968989999964833,correct,1
Block 1: Binocular_Standard,86,-0.019999999999999997,0,left,left,0.35968379996484146,correct,1
Block 1: Binocular_Standard,87,-0.019999999999999997,0,left,left,0.3703337000333704,correct,1
Block 1: Binocular_Standard,88,-0.009999999999999997,0,right,left,0.37014980003004894,false,0
Block 1: Binocular_Standard,89,-0.019999999999999997,0,left,left,0.33822700002929196,correct,1
Block 1: Binocular_Standard,90,0.019999999999999997,0,left,right,0.350477600004524,false,0
Block 1: Binocular_Standard,91,-0.03,0,left,left,0.3402729000081308,correct,1
Block 1: Binocular_Standard,92,-0.03,0,left,left,0.317272900021635,correct,1
Block 1: Binocular_Standard,93,0.019999999999999997,0,left,right,0.3799709000159055,false,0
Block 1: Binocular_Standard,94,-0.03,0,left,left,0.32782780000707135,correct,1
Block 1: Binocular_Standard,95,0.03,0,left,right,0.3704240000224672,false,0
Block 1: Binocular_Standard,96,-0.04,0,left,left,0.41097799997078255,correct,1
Block 1: Binocular_Standard,97,0.04,0,right,right,0.3922526999958791,correct,1
Block 1: Binocular_Standard,98,0.03,0,left,right,0.3621489999932237,false,0
Block 1: Binocular_Standard,99,0.04,0,left,right,0.3479393000015989,false,0
Block 1: Binocular_Standard,100,0.05,0,right,right,0.32838929997524247,correct,1
Block 1: Binocular_Standard,101,-0.05,0,left,left,0.33008739998331293,correct,1
Block 1: Binocular_Standard,102,-0.04,0,left,left,0.43215270002838224,correct,1
Block 1: Binocular_Standard,103,-0.04,0,left,left,0.37961770000401884,correct,1
Block 1: Binocular_Standard,104,0.03,0,left,right,0.31783489999361336,false,0
Block 1: Binocular_Standard,105,-0.04,0,left,left,0.33858519996283576,correct,1
Block 1: Binocular_Standard,106,-0.04,0,left,left,0.338326099968981,correct,1
Block 1: Binocular_Standard,107,0.03,0,left,right,0.33831999998074025,false,0
Block 1: Binocular_Standard,108,-0.04,0,left,left,0.31834450003225356,correct,1
Block 1: Binocular_Standard,109,-0.04,0,left,left,0.3502947999513708,correct,1
Block 1: Binocular_Standard,110,-0.03,0,left,left,0.37081079999916255,correct,1
Block 1: Binocular_Standard,111,-0.03,0,left,left,0.3386466999654658,correct,1
Block 1: Binocular_Standard,112,-0.019999999999999997,0,left,left,0.3713170000119135,correct,1
Block 1: Binocular_Standard,113,-0.019999999999999997,0,left,left,0.34900180000113323,correct,1
Block 1: Binocular_Standard,114,-0.009999999999999997,0,left,left,0.29697339999256656,correct,1
Block 1: Binocular_Standard,115,-0.009999999999999997,0,left,left,0.40139840001938865,correct,1
Block 1: Binocular_Standard,116,0,0,right,right,0.4113245000480674,correct,1
Block 1: Binocular_Standard,117,0,0,left,right,0.3604969999869354,false,0
Block 1: Binocular_Standard,118,-0.01,0,left,left,0.3596874999930151,correct,1
Block 1: Binocular_Standard,119,0.01,0,left,right,0.3720640999963507,false,0
Block 1: Binocular_Standard,120,-0.02,0,left,left,0.3271565000177361,correct,1
Block 1: Binocular_Standard,121,-0.02,0,right,left,0.46385559998452663,false,0
Block 1: Binocular_Standard,122,0.03,0,left,right,0.3090177000267431,false,0
Block 1: Binocular_Standard,123,-0.04,0,left,left,0.32873149996157736,correct,1
Block 1: Binocular_Standard,124,0.04,0,right,right,0.39960049994988367,correct,1
Block 1: Binocular_Standard,125,-0.03,0,left,left,0.4119379000039771,correct,1
Block 1: Binocular_Standard,126,0.03,0,left,right,0.5133561000111513,false,0
Block 1: Binocular_Standard,127,-0.04,0,left,left,0.32943459996022284,correct,1
Block 1: Binocular_Standard,128,-0.04,0,left,left,0.3685509999631904,correct,1
Block 1: Binocular_Standard,129,0.03,0,left,right,0.34924900002079085,false,0
